chave,type_id,titulo,url,confianca,faixa_anos,ano_suspeito,atualizado_em
paraguai|10 guaranis|1976|km# 153,4974,10 Guaraníes,https://pt.numista.com/4974,km,1975–1976,0,2026-08-15T00:51:06.966Z
eua|5 centimos|1985|,,,,nenhuma,,0,2026-08-15T00:51:07.007Z
eua|¼ dolar|1971|,,,,nenhuma,,0,2026-08-15T00:51:07.154Z
brasil|20 cruzeiros|1983|,5385,20 Cruzeiros,https://pt.numista.com/5385,pais-ano,1981–1986,0,2026-08-15T00:51:07.221Z
alemanha|5 centimos de euro|2013|km# 209,107,5 Euro Cents,https://pt.numista.com/107,km,2002–2026,0,2026-08-15T00:51:07.291Z
eua|¼ dolar|1988|,,,,nenhuma,,0,2026-08-15T00:51:07.364Z
polonia|1 zloty|2014|,526,1 Grosz (non-magnetic),https://pt.numista.com/526,pais-ano,1990–2014,0,2026-08-15T00:51:08.446Z
eua|5 centimos|1990|,,,,nenhuma,,0,2026-08-15T00:51:08.482Z
bulgaria|1 stotinka|2000|km# 237a,28610,1 Stotinka (magnetic),https://pt.numista.com/28610,km,2000–2002,0,2026-08-15T00:51:08.621Z
brasil|10 centavos|1948|km# 561,6792,10 Centavos (José Bonifácio),https://pt.numista.com/6792,km,1947–1955,0,2026-08-15T00:51:08.761Z
trinidad e tobago|5 centimos|2009|km# 30,926,5 Cents (Non-Magnetic),https://pt.numista.com/926,km,1976–2017,0,2026-08-15T00:51:08.945Z
polonia|2 zlote|2009|,518,2 Zlotys,https://pt.numista.com/518,pais-ano,1994–2026,0,2026-08-15T00:51:09.112Z
argentina|1 peso|1995|km# 112,,,,nenhuma,,0,2026-08-15T00:51:09.356Z
eua|¼ dolar|1983|,,,,nenhuma,,0,2026-08-15T00:51:09.532Z
polonia|10 groszy|2013|,523,10 Groszy,https://pt.numista.com/523,pais-ano,1990–2016,0,2026-08-15T00:51:10.873Z
aruba|10 centimos|1998|km# 2,5349,10 Cents,https://pt.numista.com/5349,km,1986–2026,0,2026-08-15T00:51:11.021Z
antilhas neerlandesas|25 centimos|1992|km# 35,,,,nenhuma,,0,2026-08-15T00:51:11.128Z
macedonia do norte|10 denari|2008|km# 31,6533,10 Denari,https://pt.numista.com/6533,km,2008–2017,0,2026-08-15T00:51:11.204Z
franca|2 euro|2008|km# 1459,3561,2 Euros (French Presidency of the European Union),https://pt.numista.com/3561,km,2008,0,2026-08-15T00:51:11.347Z
colombia|200 pesos|2007|km# 287,1051,200 Pesos,https://pt.numista.com/1051,km,1994–2012,0,2026-08-15T00:51:11.488Z
antilhas neerlandesas|5 centimos|1967|km# 6,,,,nenhuma,,0,2026-08-15T00:51:11.591Z
alemanha|2 euro|2002|km# 214,112,2 Euros (1st map),https://pt.numista.com/112,km,2002–2006,0,2026-08-15T00:51:11.699Z
polonia|20 groszy|2009|,522,20 Groszy,https://pt.numista.com/522,pais-ano,1990–2016,0,2026-08-15T00:51:12.747Z
chile|10 pesos|2008|km# 228,2756,10 Pesos,https://pt.numista.com/2756,km,1990–2026,0,2026-08-15T00:51:12.891Z
trinidad e tobago|25 centimos|2015|km# 32,1159,25 Cents (Non-Magnetic),https://pt.numista.com/1159,km,1976–2017,0,2026-08-15T00:51:13.031Z
brasil|100 reis|1938|km# 536,9077,100 Réis (Tamandaré),https://pt.numista.com/9077,km,1936–1938,0,2026-08-15T00:51:13.174Z
italia|1 euro|2002|km# 216,,,,nenhuma,,0,2026-08-15T00:51:13.351Z
russia|5 rublos|2014|,65574,20 Roubles (Year of the Goat),https://pt.numista.com/65574,pais-ano,2014,0,2026-08-15T00:51:13.530Z
austria|10 centimos de euro|2002|km# 3085,60,10 Euro Cents (1st map),https://pt.numista.com/60,km,2002–2007,0,2026-08-15T00:51:13.679Z
peru|20 centimos|2014|km# 306.4,5422,20 Céntimos (Without braille),https://pt.numista.com/5422,km,2001–2026,0,2026-08-15T00:51:13.854Z
brasil|200 reis|1938|km# 537,2245,200 Réis (Mauá),https://pt.numista.com/2245,km,1936–1938,0,2026-08-15T00:51:14.965Z
tchequia|50 coroas|2010|km# 1,,,,nenhuma,,0,2026-08-15T00:51:15.142Z
eua|¼ dolar|2001|,,,,nenhuma,,0,2026-08-15T00:51:15.353Z
argentina|1 peso|1958|km# 57,2818,1 Peso,https://pt.numista.com/2818,km,1957–1962,0,2026-08-15T00:51:15.462Z
mexico|10 pesos novos|1992|km# 553,590,10 Nuevos Pesos,https://pt.numista.com/590,km,1992–1995,0,2026-08-15T00:51:15.598Z
peru|1 novo sol|2007|km# 308.4,2443,1 Nuevo Sol (1st type; without braille),https://pt.numista.com/2443,km,2001–2011,0,2026-08-15T00:51:15.776Z
argentina|2 pesos|2007|km# 144,,,,nenhuma,,0,2026-08-15T00:51:16.017Z
mexico|100 pesos|1991|km# 493,961,100 Pesos,https://pt.numista.com/961,km,1984–1992,0,2026-08-15T00:51:16.221Z
russia|10 rublos|2012|,77000,10 Roubles (The Cornflower),https://pt.numista.com/77000,pais-ano,2012,0,2026-08-15T00:51:17.454Z
trinidad e tobago|5 centimos|1971|km# 2,,,,nenhuma,,0,2026-08-15T00:51:17.629Z
austria|1 euro|2006|km# 3088,63,1 Euro (1st map),https://pt.numista.com/63,km,2002–2007,0,2026-08-15T00:51:17.770Z
romenia|10 bani|2012|km# 191,4101,10 Bani (Eagle without crown),https://pt.numista.com/4101,km,2005–2017,0,2026-08-15T00:51:17.909Z
colombia|100 pesos|1995|km# 285,2433,100 Pesos,https://pt.numista.com/2433,km,1992–2012,0,2026-08-15T00:51:18.117Z
brasil|50 centavos|1945|km# 557a,4896,50 Centavos,https://pt.numista.com/4896,km,1943–1947,0,2026-08-15T00:51:18.256Z
servia|5 dinar|2013|km# 56a,33452,5 Dinars (2nd Coat of Arms; Magnetic),https://pt.numista.com/33452,km,2013–2025,0,2026-08-15T00:51:18.400Z
alemanha|10 centimos de euro|2002|km# 210,108,10 Euro Cents (1st map),https://pt.numista.com/108,km,2002–2006,0,2026-08-15T00:51:18.507Z
